0	0	186,118,78	192,96,64	1.00	0.35
1	0	160,139,136	176,160,160	1.00	0.24
2	0	148,89,77	160,80,64	1.00	0.35
3	0	150,89,75	160,80,64	1.00	0.36
4	0	150,89,75	160,80,64	1.00	0.36
5	0	150,89,75	160,80,64	1.00	0.36
6	0	154,100,88	160,80,64	1.00	0.28
7	0	173,141,130	224,208,176	1.00	0.26
8	0	208,191,169	224,208,176	1.00	0.69
9	0	227,213,180	224,208,176	1.00	0.95
10	0	227,213,180	224,208,176	1.00	0.94
11	0	227,214,180	224,208,176	1.00	0.95
12	0	227,214,180	224,208,176	1.00	0.96
13	0	211,195,171	224,208,176	1.00	0.71
14	0	171,153,148	160,128,144	1.00	0.30
15	0	224,210,179	224,208,176	1.00	0.84
16	0	195,179,163	224,208,176	1.00	0.37
17	0	222,208,177	224,208,176	1.00	0.86
18	0	184,164,157	160,128,144	1.00	0.43
19	0	145,122,132	160,128,144	1.00	0.65
20	0	255,255,255	240,240,240	1.00	1.00
21	0	255,255,255	240,240,240	1.00	1.00
22	0	255,255,255	240,240,240	1.00	1.00
23	0	255,255,255	240,240,240	1.00	1.00
24	0	255,255,255	240,240,240	1.00	1.00
25	0	255,255,255	240,240,240	1.00	1.00
26	0	255,255,255	240,240,240	1.00	1.00
27	0	255,255,255	240,240,240	1.00	1.00
28	0	237,231,229	240,240,240	1.00	0.72
29	0	204,181,171	240,240,240	1.00	0.34
30	0	229,222,223	240,240,240	1.00	0.72
31	0	255,255,255	240,240,240	1.00	1.00
32	0	255,255,255	240,240,240	1.00	1.00
33	0	255,255,255	240,240,240	1.00	1.00
34	0	255,255,255	240,240,240	1.00	1.00
35	0	255,255,255	240,240,240	1.00	1.00
36	0	255,255,255	240,240,240	1.00	1.00
37	0	255,255,255	240,240,240	1.00	1.00
38	0	255,255,255	240,240,240	1.00	1.00
39	0	255,255,255	240,240,240	1.00	1.00
40	0	255,255,255	240,240,240	1.00	1.00
41	0	237,231,228	240,240,240	1.00	0.72
42	0	229,222,223	240,240,240	1.00	0.72
43	0	255,255,255	240,240,240	1.00	1.00
44	0	255,255,255	240,240,240	1.00	1.00
45	0	255,255,255	240,240,240	1.00	1.00
46	0	255,255,255	240,240,240	1.00	1.00
47	0	255,255,255	240,240,240	1.00	1.00
48	0	255,255,255	240,240,240	1.00	1.00
49	0	255,255,255	240,240,240	1.00	1.00
50	0	255,255,255	240,240,240	1.00	1.00
51	0	255,255,255	240,240,240	1.00	1.00
52	0	255,255,255	240,240,240	1.00	1.00
53	0	237,231,229	240,240,240	1.00	0.72
54	0	204,181,171	240,240,240	1.00	0.34
55	0	229,222,223	240,240,240	1.00	0.72
56	0	255,255,255	240,240,240	1.00	1.00
57	0	255,255,255	240,240,240	1.00	1.00
58	0	255,255,255	240,240,240	1.00	1.00
59	0	255,255,255	240,240,240	1.00	1.00
60	0	255,255,255	240,240,240	1.00	1.00
61	0	255,255,255	240,240,240	1.00	1.00
62	0	255,255,255	240,240,240	1.00	1.00
63	0	255,255,255	240,240,240	1.00	1.00
0	1	182,133,107	192,96,64	1.00	0.21
1	1	152,133,137	160,128,144	1.00	0.30
2	1	152,107,101	160,80,64	1.00	0.21
3	1	150,89,75	160,80,64	1.00	0.36
4	1	150,89,75	160,80,64	1.00	0.36
5	1	150,89,75	160,80,64	1.00	0.36
6	1	150,89,75	160,80,64	1.00	0.36
7	1	150,89,75	160,80,64	1.00	0.36
8	1	154,100,88	160,80,64	1.00	0.28
9	1	174,144,132	224,208,176	1.00	0.29
10	1	226,213,180	224,208,176	1.00	0.93
11	1	182,165,154	224,208,176	1.00	0.39
12	1	226,213,180	224,208,176	1.00	0.94
13	1	211,195,171	224,208,176	1.00	0.71
14	1	183,164,158	176,160,160	1.00	0.68
15	1	176,159,152	224,208,176	1.00	0.24
16	1	152,133,138	112,96,112	1.00	0.35
17	1	167,145,146	160,128,144	1.00	0.51
18	1	169,146,148	160,128,144	1.00	0.63
19	1	158,134,141	160,128,144	1.00	0.78
20	1	255,255,255	240,240,240	1.00	1.00
21	1	255,255,255	240,240,240	1.00	1.00
22	1	255,255,255	240,240,240	1.00	1.00
23	1	255,255,255	240,240,240	1.00	1.00
24	1	255,255,255	240,240,240	1.00	1.00
25	1	255,255,255	240,240,240	1.00	1.00
26	1	237,231,229	240,240,240	1.00	0.72
27	1	205,173,155	240,240,240	1.00	0.22
28	1	189,128,92	160,80,64	1.00	0.29
29	1	174,111,78	160,80,64	1.00	0.34
30	1	154,100,88	160,80,64	1.00	0.28
31	1	180,150,146	160,128,144	1.00	0.25
32	1	229,222,223	240,240,240	1.00	0.72
33	1	255,255,255	240,240,240	1.00	1.00
34	1	255,255,255	240,240,240	1.00	1.00
35	1	255,255,255	240,240,240	1.00	1.00
36	1	255,255,255	240,240,240	1.00	1.00
37	1	255,255,255	240,240,240	1.00	1.00
38	1	255,255,255	240,240,240	1.00	1.00
39	1	237,231,229	240,240,240	1.00	0.72
40	1	205,173,155	240,240,240	1.00	0.22
41	1	192,133,93	192,96,64	1.00	0.27
42	1	155,102,89	160,80,64	1.00	0.30
43	1	180,150,146	160,128,144	1.00	0.25
44	1	229,222,223	240,240,240	1.00	0.72
45	1	255,255,255	240,240,240	1.00	1.00
46	1	255,255,255	240,240,240	1.00	1.00
47	1	255,255,255	240,240,240	1.00	1.00
48	1	255,255,255	240,240,240	1.00	1.00
49	1	255,255,255	240,240,240	1.00	1.00
50	1	255,255,255	240,240,240	1.00	1.00
51	1	237,231,229	240,240,240	1.00	0.72
52	1	205,173,155	240,240,240	1.00	0.22
53	1	189,128,92	160,80,64	1.00	0.29
54	1	174,111,78	160,80,64	1.00	0.34
55	1	154,100,88	160,80,64	1.00	0.28
56	1	180,150,146	160,128,144	1.00	0.25
57	1	229,222,223	240,240,240	1.00	0.72
58	1	255,255,255	240,240,240	1.00	1.00
59	1	255,255,255	240,240,240	1.00	1.00
60	1	255,255,255	240,240,240	1.00	1.00
61	1	255,255,255	240,240,240	1.00	1.00
62	1	255,255,255	240,240,240	1.00	1.00
63	1	255,255,255	240,240,240	1.00	1.00
